Title,Company,Experience,Location,Salary,Skills,Date,Domain
GN - Tech Strategy & Advisory -Cloud Architect - Consultant,Accenture,5-10 Yrs ,Mumbai ,Not disclosed,The Cloud Consulting Specialist Join our teamof Cloudstrategists whouse the cloud to re...,08-10-2024,Cloud Architecture
Cloud Architect,Wipro,7-12 Yrs ,Hybrid - Bengaluru ,Not disclosed,"Experience in Cloud Repatriation and Migration strategies to VMWARE, Hyper V and Azure ...",21-09-2024,Cloud Architecture
GCP Cloud Architect - Bangalore,Genpact,10-19 Yrs ,Bengaluru ,Not disclosed,"We deliver scalable, business critical and end-to-end solutions for our client - from d...",21-09-2024,Cloud Architecture
Cloud Architect,Dedalus Global,12-18 Yrs ,Hybrid - Chennai ,Not disclosed,"Essential Requirements . Bachelors or Masters degree in Computer Science, Information T...",18-10-2024,Cloud Architecture
Cloud Architect,Carrier,8-12 Yrs ,Hyderabad ,Not disclosed,Location: Hyderabad . Full/ Part-time: Fulltime . Experience in NodeJS applications . S...,17-10-2024,Cloud Architecture
Pncpl Cloud Architect,Replicon,8-13 Yrs ,Remote ,Not disclosed,Develop and maintain cost and forecasting models to provide required insights into curr...,12-10-2024,Cloud Architecture
Cloud Architect(Only For Female candidates),Adon Innovation Technologies,15-24 Yrs ,Bengaluru ,Not disclosed,Cloud architect with experience in manufacturing industry.,09-10-2024,Cloud Architecture
Cloud Architect,Aryavart Institute Of Technology,3-5 Yrs ,"Patna, Kanpur, New Delhi, Supaul ",Not disclosed,"As a Cloud Architect at Aryavart Institute of Technology, you will be responsible for d...",21-09-2024,Cloud Architecture
Cloud Architect,Tech Mahindra,17-25 Yrs ,Hybrid - Pune ,Not disclosed,Cloud Principle Architect - platformAt least 17+ years of overall experience and Minum...,05-10-2024,Cloud Architecture
Cloud Architect,IBM,12-16 Yrs ,Kochi ,Not disclosed,Required Technical and Professional Expertise . 12+ Years of strong development experie...,02-10-2024,Cloud Architecture
Architect- Salesforce Marketing Cloud,Pepsico,9-14 Yrs ,Hyderabad ,Not disclosed,"Motivated self-starter, able to change directions quickly when priorities shift and qui...",19-10-2024,Cloud Architecture
Success Architect- Marketing Cloud,Salesforce,8-13 Yrs ,Hyderabad ,Not disclosed,Experience with system architecture design and integration patterns . Experience implem...,19-10-2024,Cloud Architecture
"Cloud Architect-7 To 10 yrs- Mumbai, Delhi, Chennai
",Wize Careers Consultants,7-10 Yrs ,"Mumbai, Chennai, Delhi / NCR ",20-30 Lacs PA,"Minimum of 8 years in software development, with at least 3 years in a cloud architect ...",16-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,15-20 Yrs ,"Pune, Bengaluru ",Not disclosed,AWS Certified Solutions Architect Professional certification is mandatory Must have ski...,12-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,12-17 Yrs ,Coimbatore ,Not disclosed,Project Role :Cloud Platform ArchitectProject Role Description :Oversee application arc...,09-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,5-10 Yrs ,Bengaluru ,Not disclosed,Minimum 5 year(s) of experience is required. Educational Qualification : 15 year of ful...,09-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,2-6 Yrs ,Bengaluru ,Not disclosed,Must have skills : Red Hat OS Administration. Good to have skills : AWS AdministrationM...,09-10-2024,Cloud Architecture
Cloud Architect,Mindpec Solutions Sdn Bhd,8-13 Yrs ,Japan ,Not disclosed,"May play a role of Mentor to DevOps Engineers. Must Have: . Bachelors Degree, with 10+ ...",10-10-2024,Cloud Architecture
Cloud Architect,GAVS Technologies,7-12 Yrs ,Chennai ,Not disclosed,This is work from office @ chennai locationa and 2 - 11 pm shift . .,09-10-2024,Cloud Architecture
Cloud Architect,Culturecord Business Management Solutions,10-16 Yrs ,Chennai(Perungudi) ,24-30 Lacs PA,"Manage cloud budgets, track spending, identify cost-saving opportunitiesEstablish cost...",20-10-2024,Cloud Architecture
Cloud Architect,IT Industry,6-10 Yrs ,"Pune, Ahmedabad, Chennai ",Not disclosed,"Technical Skills Must Have:8+ years overall IT industry experience, with 5+ years in a ...",14-10-2024,Cloud Architecture
Cloud Architect,IT Industry,6-8 Yrs ,"Pune, Ahmedabad, Chennai ",Not disclosed,"Technical Skills Must Have:8+ years overall IT industry experience, with 5+ years in a ...",12-10-2024,Cloud Architecture
Opening For Manager-Cloud Architect,Sun Pharma,12-16 Yrs ,Mumbai ,Not disclosed,"Hi, We are having an opening for Manager -Cloud Architect at our Mumbai location. Job S...",25-09-2024,Cloud Architecture
Cloud Architect - GCP,Epsilon Asia Group Of Companies,9-13 Yrs ,Bengaluru ,Not disclosed,Your Skills & Experience: . 9 to 13 years of experience in DevOps with a bachelors in e...,21-09-2024,Cloud Architecture
Cloud Architect,srs Solution,12-20 Yrs ,Hyderabad ,Not disclosed,"Knowledge and experience with serverless computing concepts and platforms, like AWS Lam...",21-09-2024,Cloud Architecture
Cloud Architect,searce,3-8 Yrs ,Bengaluru ,Not disclosed,So unfortunately we might have to look for Bachelors or Masters degree in engineering f...,21-09-2024,Cloud Architecture
Cloud Architect,CAMSDATA,8-15 Yrs ,Bengaluru ,Not disclosed,Hands-on experience deploying and managing infrastructure with Terraform .  Proficient ...,21-09-2024,Cloud Architecture
GCP Cloud Architect,Company is a leading global data analytics & AI consulting,11-15 Yrs ,"Pune, Chennai, Bengaluru ",32.5-45 Lacs PA,The Role: Cloud Architect - GCP Key Responsibilities:  Thought Leadership  Exhibit lea...,05-10-2024,Cloud Architecture
Cloud Architect,big4,8-13 Yrs ,Remote ,Not disclosed,Role: Cloud ArchitectExperience: 8 15 yearsResponsibilities:Design and implement cloud...,02-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,15-20 Yrs ,Ahmedabad ,Not disclosed,"Deep Technical Expertise:Demonstrated proficiency in Azure IoT Hub, Event Hub, Event Gr...",08-10-2024,Cloud Architecture
"Architect, Salesforce Marketing Cloud",Pepsico,9-14 Yrs ,Hyderabad ,Not disclosed,"Motivated self-starter, able to change directions quickly when priorities shift and qui...",09-10-2024,Cloud Architecture
ORACLE CLOUD ENGINEER (ARCHITECT),Fort Technologies,5-9 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,"Qualifications : . Bachelors degree in Computer Science, Engineering, or related fieldP...",21-09-2024,Cloud Architecture
Cloud Architect,Nexturn,6-8 Yrs ,Remote ,Not disclosed,"Minimum 6 yea s of ecent expe ience in Cloud I t ansition, t ansfo mation, and mig atio...",21-09-2024,Cloud Architecture
Cloud Architect - GCP,Epsilon Asia Group Of Companies,9-13 Yrs ,Pune ,Not disclosed,Your Skills & Experience: . 9 to 13 years of experience in DevOps with a bachelors in e...,21-09-2024,Cloud Architecture
Cloud Architect,Cloudside Technologies,5-10 Yrs ,Coimbatore ,Not disclosed,"How to run design, deploy and maintain internet-scale systems . Hands-on experience wit...",21-09-2024,Cloud Architecture
Cloud Architect,Wissda Consulting,12-17 Yrs ,Pune ,Not disclosed,"12+ years experience in production environment, hands on with cloud architecture.  Str...",21-09-2024,Cloud Architecture
Cloud Architect,AppIncubator,4-5 Yrs ,Hyderabad ,Not disclosed,"Experience with cloud migration, integration, and hybrid cloud solutions. .",21-09-2024,Cloud Architecture
Cloud Architect,searce,3-8 Yrs ,Mumbai ,Not disclosed,So unfortunately we might have to look for Bachelors or Masters degree in engineering f...,21-09-2024,Cloud Architecture
Cloud Architect,American Technology Consulting,6-10 Yrs ,Chennai ,Not disclosed,6 Years of experience in application and infrastructure architecture / development on O...,21-09-2024,Cloud Architecture
Cloud Architect,Zazz,4-5 Yrs ,Hyderabad ,Not disclosed,"Experience with cloud migration, integration, and hybrid cloud solutions",21-09-2024,Cloud Architecture
Cloud Architect,Neuron,4-8 Yrs ,Chennai ,Not disclosed,Bachelor / Masters degree in computer science or related field or equivalent profession...,21-09-2024,Cloud Architecture
Cloud Architect,Quantified Hr,6-11 Yrs ,Mumbai ,Not disclosed,". Good experience in services like API Gateway, Apigee API Management, Application Inte...",21-09-2024,Cloud Architecture
Success Architect- Marketing Cloud,Tableau Software,8-12 Yrs ,Hyderabad ,Not disclosed,Experience with system architecture design and integration patterns . Experience implem...,19-10-2024,Cloud Architecture
Cloud Architect - GCP,Buzzworks Business Services,10-20 Yrs ,Pune ,30-45 Lacs PA,"Dear Candidate, Warm greetings from Buzzworks!We are hiring Google Cloud Architect - G...",25-09-2024,Cloud Architecture
Cloud Architect,Codevian Technologies,12-15 Yrs ,"Noida, Pune, Bengaluru ",Not disclosed,Understanding of network service concepts in cloud . Understanding of cloud security be...,21-09-2024,Cloud Architecture
AM/DM-Cloud Architect,Maruti Suzuki,5-6 Yrs ,Gurugram ,Not disclosed,HANDS ON EXPERIENCE IN ENGINEERING & DEVELOPMENT OF SUSPENSION & BODY .  GOOD LISTENING...,21-09-2024,Cloud Architecture
Salesforce Loyalty Cloud Architect,Truedata Financial Information,7-9 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,Conduct system audits and prepare architectural documentation to support decision-makin...,21-09-2024,Cloud Architecture
Salesforce Marketing Cloud Architect,JOBWORLD,10-17 Yrs ,"Pune, Gurugram, Bengaluru ",32.5-47.5 Lacs PA,Preferred Certifications: . Marketing Cloud ConsultantExp- 10 + Years . As an SFMC Arch...,28-09-2024,Cloud Architecture
Cloud Infra Architect,Datamatics,17-20 Yrs ,Mumbai ,Not disclosed,Experience17+ years of relevant experienceQualificationsAny Graduate / Post GraduateMan...,12-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,5-9 Yrs ,Coimbatore ,Not disclosed,Minimum 5 year(s) of experience is required. Educational Qualification : Min 15 years o...,05-10-2024,Cloud Architecture
Software Architect - Cloud,Siemens,10-20 Yrs ,Pune ,Not disclosed,. 10+years of experience is required,21-09-2024,Cloud Architecture
Cloud Application Architect,Hexaware Technologies,12-13 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,Minimum 12+ years of experience in planning and executing the governance of cloud adopt...,21-09-2024,Cloud Architecture
Hiring For Cloud Architect,Unicloud,3-5 Yrs ,Noida ,Not disclosed,Certified Cloud Solution ArchitecturePreferred candidate profile Experience in AWS /OCI,27-09-2024,Cloud Architecture
Salesforce Marketing Cloud Architect,Maxify Digital Labs,12-15 Yrs ,"Noida, New Delhi, Gurugram ",Not disclosed,Role Requirements: Ability to facilitate discussions that translate business requireme...,21-09-2024,Cloud Architecture
Cloud Architect - PAAS,Hanu Consultancy Services,10-20 Yrs ,"Noida, Greater Noida ",Not disclosed,Create Proof-of-Concepts to demonstrate solution viability . Should have knowledge of o...,21-09-2024,Cloud Architecture
Service Cloud Architect,Brillio,10-14 Yrs ,Bengaluru ,Not disclosed,"Enhancing client, support user and end client experience . Inter communication with arc...",21-09-2024,Cloud Architecture
Cloud Architect,Harappa Education,3-10 Yrs ,New Delhi ,Not disclosed,". Understanding of various design patterns like N-tier, micro-services, stateful vs sta...",21-09-2024,Cloud Architecture
Cloud Architect,Consultit,1-7 Yrs ,Greater Noida ,Not disclosed,ConsultIT is looking for Cloud Architect to join our dynamic team and embark on a rewar...,21-09-2024,Cloud Architecture
Cloud Architect,Marq Global,8-13 Yrs ,Noida ,Not disclosed,Proven work experience as a Cloud Architect or similar role .,21-09-2024,Cloud Architecture
Cloud Architect,Lepide Software,8-13 Yrs ,"Noida, New Delhi ",Not disclosed,Understand product requirements and system specifications Plan and design the struct...,21-09-2024,Cloud Architecture
RH Openstack Cloud Architect,Instatalent Recruit,10-12 Yrs ,"Chandigarh, Gurugram ",Not disclosed,Shift Administration . Experience10 years minimum in IT virtualization In depth underst...,21-09-2024,Cloud Architecture
Cloud Architect-PaaS,Hanu Consultancy Services,10-12 Yrs ,Noida ,Not disclosed,"Reliability, Availability, Scaling and Performance Proficient in custom programming (C#...",21-09-2024,Cloud Architecture
Cloud Architect,Capgemini,8-12 Yrs ,Hyderabad ,Not disclosed,Proficiency in English. Nice to have. *AWS certification (e.gAWS Solutions Architect As...,21-09-2024,Cloud Architecture
Cloud Architect,Oracle,5-10 Yrs ,Mumbai (All Areas) ,Not disclosed,Is accountable for the successful experience of customer(s) in their territory.Understa...,21-09-2024,Cloud Architecture
Cloud Architect,Tech Holding,9-11 Yrs ,Pune ,Not disclosed,Our founders and team members have industry experience and have held senior positions i...,26-09-2024,Cloud Architecture
Cloud Architect,Siemens,5-11 Yrs ,Pune ,Not disclosed,You should have experience of working with offshore /global teams You should be willing...,21-09-2024,Cloud Architecture
Cloud Architect,Tesseract,12-15 Yrs ,"Mumbai, Navi Mumbai ",Not disclosed,"Experience with the ITIL framework, particularly Incident, Change, and Problem Manageme...",21-09-2024,Cloud Architecture
Teamcenter Cloud Architect,Siemens,6-12 Yrs ,Pune ,Not disclosed,"Catia, AutoCAD and ProE CAD Integration with Teamcenter SQL Scripting . Have to work in...",21-09-2024,Cloud Architecture
Cloud Infra Domain Architect,Nokia,5-6 Yrs ,Gurugram ,Not disclosed,Typically requires 5-6 years extensive relevant experience and a graduate / postgraduat...,21-09-2024,Cloud Architecture
Cloud Architect,Newt Global,7-10 Yrs ,Remote ,Not disclosed,Experience of writing complex ARM Template or terraform template . Understanding of hyb...,21-09-2024,Cloud Architecture
Cloud Architect,Cloud 9 Infosystems,18-20 Yrs ,Remote ,Not disclosed,Lead the architecture phase of an ongoing Azure project.    Be a subject matter expert...,21-09-2024,Cloud Architecture
Software Architect - Cloud Platform,Siemens,0-12 Yrs ,Bengaluru ,Not disclosed,". Bachelorsor Masters degree in Computer Science & Engineering, or equivalent . Experie...",27-09-2024,Cloud Architecture
Microsoft SharePoint Cloud Architect,Global Pharma Tek,5-10 Yrs ,Hyderabad ,Not disclosed,Shift: 2-11 PM IST. Job Summary: The Microsoft SharePoint Cloud Architect will be respo...,21-09-2024,Cloud Architecture
Cloud Architect,Brigade Group,10-20 Yrs ,Bengaluru ,Not disclosed,We are seeking a skilled and innovative Cloud Architect to join our dynamic team. In th...,04-10-2024,Cloud Architecture
Cloud Architect,Koch Industries,7-12 Yrs ,Bengaluru ,Not disclosed,This role will be part of our Koch Global Services Cloud & Applications team.We deliver...,21-09-2024,Cloud Architecture
Cloud Architect,Embitel Technologies,9-12 Yrs ,Bengaluru ,Not disclosed,"Proficiency in infrastructure automation tools like Terraform, AWS CloudFormation, Azur...",21-09-2024,Cloud Architecture
Cloud Architect,Primus Global Technologies,5-9 Yrs ,Bengaluru ,Not disclosed,5 years ofexperience in designing and driving the implementation of large-scalecom...,21-09-2024,Cloud Architecture
Cloud Architect,Xpheno,7-11 Yrs ,Bengaluru ,Not disclosed,Architect and design solutions to meet functional and non-functional requirements o...,21-09-2024,Cloud Architecture
Java Cloud Architect-Su,Wissda Consulting,11-14 Yrs ,Bengaluru ,Not disclosed,Day-to-day working knowledge of contemporary source code development tools and t...,21-09-2024,Cloud Architecture
Cloud Architect,Paktolus Solutions,5-7 Yrs ,Bengaluru ,Not disclosed,"Proficient in AWS services such as EC2, VPC, Lambda, DynamoDB, API Gateway, EBS, S3, IA...",21-09-2024,Cloud Architecture
Cloud Architect,Xpheno,7-11 Yrs ,Bengaluru ,Not disclosed,Experience with multi-tier system and service design and development for large enterpri...,21-09-2024,Cloud Architecture
Cloud Architect,Xpheno,6-10 Yrs ,Bengaluru ,Not disclosed,Experience migrating or transforming legacy customer solutions to the cloud . Ready To ...,21-09-2024,Cloud Architecture
Cloud Architect,Aliqan Services,5-10 Yrs ,Bengaluru ,Not disclosed,A Cloud Architect is a professional who designs and oversees the implementation of cl...,21-09-2024,Cloud Architecture
Cloud Architect,Diverse Lynx,4-7 Yrs ,Bengaluru ,Not disclosed,JOB Description     Maintain AWS Cloud Infrastructure in Efficient Configuration fro...,21-09-2024,Cloud Architecture
Cloud Architect,Cotocus Com,5-10 Yrs ,Bengaluru ,Not disclosed,"Experience and Responsibilities . Strong service attitude, team worker and a commitment...",21-09-2024,Cloud Architecture
Cloud Architect,Sitero,10-14 Yrs ,Bengaluru ,Not disclosed,. EDUCATION AND EXPERIENCE REQUIRED . BE . / . BTech . in Computer Science or equivalen...,21-09-2024,Cloud Architecture
Salesforce commerce Cloud Architect,Pradeepit Consulting Services,12-14 Yrs ,Bengaluru ,Not disclosed,Experience in dynamic situations and able to shift gears comfortably and effectively . ...,21-09-2024,Cloud Architecture
CLOUD ARCHITECT,IIW Hosting,3-7 Yrs ,Bengaluru ,Not disclosed,"BS degree in Computer Science or related discipline, MS degree preferred . 10+ years ex...",21-09-2024,Cloud Architecture
Cloud Architect,Spanidea,4-9 Yrs ,"Bengaluru, Jodhpur ",Not disclosed,"Bachelors / Masters degree in software engineering, computer science, mathematics, or r...",21-09-2024,Cloud Architecture
Salesforce Commerce Cloud Architect,Kasmo Cloud Solutions,10-12 Yrs ,Bengaluru ,Not disclosed,"Secondary Skills:  ISML, ISML Tags, SFCC Forms, Content assets, Campaigns & Promotio...",21-09-2024,Cloud Architecture
Cloud Architect,Brid Tech Solutions,10-20 Yrs ,Remote ,Not disclosed,To be the right fit you ll need . University (bachelor / master) degree in Computer Sci...,21-09-2024,Cloud Architecture
Cloud Architect - JP,Atlas Systems,3-9 Yrs ,Bengaluru ,Not disclosed,Proven work experience as a Cloud Architect or similar role . .,21-09-2024,Cloud Architecture
Cloud Development Architect,Voco Technologies,7-12 Yrs ,Hyderabad ,Not disclosed,"Experienced with Cloud architectures, Cloud application development, SaaS, Google Clo...",21-09-2024,Cloud Architecture
Cloud Architect  -  arcC,Diverse Lynx,5-11 Yrs ,Bengaluru ,Not disclosed,Experience configuring On - premises to Cloud Connectivity (i.eExperience supporting sa...,21-09-2024,Cloud Architecture
Cloud Infra Architect,Fusion Plus Solutions,6-10 Yrs ,Hyderabad ,Not disclosed,"Experience with configuring, deploying and operating public cloud services (e.g., Azure...",21-09-2024,Cloud Architecture
Cloud Architect,Pharma Companies,10-17 Yrs ,Hybrid - Bengaluru ,25-35 Lacs PA,"10+ years of exp multi cloud skills, AWS/Azure Designing cloud solutions from platform...",04-10-2024,Cloud Architecture
IT Logistics - Fusion Cloud Architect,Leading Client,10-14 Yrs ,Bengaluru ,Not disclosed,Masters or MBA degree is preferredMinimum of 8+ years of experience providing functiona...,05-10-2024,Cloud Architecture
Architect Cloud Space,Resource Corner It Services,4-9 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Not disclosed,Skills required:  Cloud Architect :     Skills:   Experience in migrating the applicat...,21-09-2024,Cloud Architecture
Cloud Native Architect,BayaTree,12-16 Yrs ,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru ",Unpaid,Project Role :Cloud Platform ArchitectProject Role Description :Oversee application arc...,N/A,Cloud Architecture
Cloud Platform Architect,Accenture,15-20 Yrs ,Bengaluru ,Not disclosed,"This can include cloud adoption plans, cloud application design, and cloud management a...",05-10-2024,Cloud Architecture
Cloud Platform Architect,Accenture,5-10 Yrs ,Bengaluru ,Not disclosed,Role & responsibilities  Cloud Architecture & Design: Collaborate with stakeholders to ...,05-10-2024,Cloud Architecture
Cloud Architect,Infoobjects Software (india),10-16 Yrs ,Remote ,Not disclosed,## Key Responsibilities- Collaborate directly with customers to understand BIG picture ...,21-09-2024,Cloud Architecture
Cloud Architect,T-Systems ICT India Pvt Ltd,7-13 Yrs ,Pune ,Not disclosed,Minimum of 5 years of experience working with Salesforce Marketing Cloud . Strong under...,27-09-2024,Cloud Architecture
Manager - Cloud Architect,Techwagger Solutions,2-7 Yrs ,Lucknow ,Not disclosed,Experience in designing Platform as a Service (PaaS) capabilities to improve a new or e...,26-09-2024,Cloud Architecture
B2B Commerce Cloud Architect,Overture Rede,15-16 Yrs ,Kharagpur ,Not disclosed,Looking for a Candidate having an expertise in Enginerring Purchase Procurement.  If ...,21-09-2024,Cloud Architecture
Cloud Architect,T-Systems ICT India Pvt Ltd,8-12 Yrs ,Pune ,Not disclosed,#NAME?,04-10-2024,Cloud Architecture
Cloud Architect,Techwave Consulting,11-18 Yrs ,Hybrid - Hyderabad ,Not disclosed,Experience in creation of terraform scripts Good understanding of Cloud Platforms (AWS)...,21-09-2024,Cloud Architecture
AllCloud | Cloud Architect,SD Solutions,4-8 Yrs ,Remote ,Not disclosed,"Experience in the following domains: AWS cloud and its services, Infrastructure as Code...",21-09-2024,Cloud Architecture
Oracle Cloud Architect,Eappsys,11-15 Yrs ,Hyderabad ,Not disclosed,We are looking for a Cloud Architect to deliver customer projects implementing Infras...,21-09-2024,Cloud Architecture
Cloud Architect,Rellio Services,8-12 Yrs ,Hyderabad ,Not disclosed,Experience in NodeJS applications . Strong knowledge of AWS Cloud Platform services lik...,21-09-2024,Cloud Architecture
Microsoft SharePoint Cloud Architect,Global Pharma Tek,6-11 Yrs ,Hyderabad ,Not disclosed,"Bachelor s degree in Computer Science, Information Technology, or a related fieldReleva...",21-09-2024,Cloud Architecture
Cloud Architect,Nityo Infotech,3-18 Yrs ,Chennai ,Not disclosed,NITYO INFOTECH is looking for Cloud Architect to join our dynamic team and embark on...,21-09-2024,Cloud Architecture
Cloud Architect,Kavi India,4-8 Yrs ,Chennai ,Not disclosed,"Education: Bachelors or Masters degree in Computer Science, Information Technology, or ...",29-09-2024,Cloud Architecture
Cloud Architect,Infotrellis,3-8 Yrs ,Chennai ,Not disclosed,"Relevant cloud certifications, such as AWS Certified Solutions Architect, Azure Adminis...",21-09-2024,Cloud Architecture
Cloud Architect,Brimma Tech,5-10 Yrs ,Chennai ,Not disclosed,"Bachelor s degree in Computer Science, Information Technology, or a related field (or e...",21-09-2024,Cloud Architecture
Salesforce Community Cloud Architect,Coders Brain Pvt Ltd,9-10 Yrs ,Remote ,Not disclosed,Salesforce Experience Cloud / Community Cloud Consultant Certification (advantage) . Pr...,21-09-2024,Cloud Architecture
Cloud Architect,searce,3-8 Yrs ,Pune ,Not disclosed,So unfortunately we might have to look for Bachelors or Masters degree in engineering f...,21-09-2024,Cloud Architecture
Oracle Supply Chain Planning Cloud Architect,Jade Global,8-13 Yrs ,Pune ,Not disclosed,Jade Global Software Pvt. Ltd. is looking for Oracle Supply Chain Planning Cloud Archit...,21-09-2024,Cloud Architecture
Salesforce Health Cloud Architect,Jade Global,8-12 Yrs ,Pune ,Not disclosed,Minimum Qualifications : .  8-12 years of professional experience Understanding of Sale...,21-09-2024,Cloud Architecture
Salesforce Communication Cloud Architect,Coders Brain Pvt Ltd,9-10 Yrs ,Remote ,Not disclosed,"To be successful in this role, you should have the following qualifications: . Minimum ...",21-09-2024,Cloud Architecture
Cloud Architect,Gsti Technologies India Pvt.ltd,8-15 Yrs ,Kochi ,Not disclosed,GSTi Technologies India Pvt.Ltd is looking for Cloud Architect to join our dynamic team...,21-09-2024,Cloud Architecture
Cloud Architect,Jtsi Technologies India,8-15 Yrs ,Kochi ,Not disclosed,JTSi Technologies India is looking for Cloud Architect to join our dynamic team and emb...,21-09-2024,Cloud Architecture
Quality Cloud Architect,Clearroute,9-14 Yrs ,Pune ,Not disclosed,Experience Developer Experience Helping teams to scale development tooling and continui...,21-09-2024,Cloud Architecture
Cloud Architect,Tesseract Imaging,12-15 Yrs ,"Mumbai, Navi Mumbai ",Not disclosed,"Experience with the ITIL framework, particularly Incident, Change, and Problem Manageme...",21-09-2024,Cloud Architecture
Cloud architect,Fusion Plus Solutions,6-10 Yrs ,Hyderabad ,Not disclosed,"Maintenance of Cloud services, Linux servers, Docker containers and directory servers...",21-09-2024,Cloud Architecture
Cloud Architects - Congruent,Congruent ,12-17 Yrs ,Chennai ,Not disclosed,"The CA is a technical, customer-facing role that is accountable for the end-to-end cust...",21-09-2024,Cloud Architecture
Java Angular Architect with Cloud,Photon,14-20 Yrs ,"Chennai, Bengaluru ",Not disclosed,"Skills : Java Architect with Angular/Reactjs and Cloud, Good CommunicationLocations : ...",28-09-2024,Cloud Architecture
Cloud Infra Architects,Right Step Consulting,7-11 Yrs ,Gurgaon ,Not disclosed,Job Description    As cloud Architect to Plan hands-on assistance towards migration o...,21-09-2024,Cloud Architecture
Cloud App Architect,Coders Brain Pvt Ltd,4-10 Yrs ,Gurugram ,Not disclosed,We are currently seeking a talented and experienced Cloud App Architect to join our t...,21-09-2024,Cloud Architecture
"BIM Architect, Revit Architecture/Structure,Point Cloud",Kwatra Innovative Pvt ltd,1-5 Yrs ,Gurugram(MG Road) ,Not disclosed,Role & responsibilities . -Immediate requirement BArch / Civil candidatePreferred candi...,02-10-2024,Cloud Architecture
